Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,is_mitm,is_ssl_stripping,is_weak_cert,is_encrypted_malware
222,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,63063.06306,13513.51351,111.0,38.18376618,138,84,222,222.0,0.0,222,222,0,0.0,0.0,0,0,1,0,0,0,64,20,9009.009009,4504.504505,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
79,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25316.4557,79.0,0.0,79,79,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12658.22785,12658.22785,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
12333071,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,385.3865757,4.297388704,237174.4423,639624.866,2288360,3,10400000,518814.35,910499.6697,2331811,326,12300000,397838.0323,793437.8476,2288360,3,0,0,0,0,680,1032,1.70273892,2.594649783,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,1,0,0,1
3,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,14.0,7.0,0.0,1,0,0,1
29,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,68965.51724,29.0,0.0,29,29,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,34482.75862,34482.75862,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
110,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18181.81818,110.0,0.0,110,110,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9090.909091,9090.909091,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
222,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,63063.06306,13513.51351,111.0,39.59797975,139,83,222,222.0,0.0,222,222,0,0.0,0.0,0,0,1,0,0,0,64,20,9009.009009,4504.504505,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
9164034,9,15,107,188,22,0,11.88888889,9.518986874,34,0,12.53333333,14.54975045,32.19106346,2.618933976,398436.2609,1035088.2,3196641,3,5925377,740672.125,1369170.149,3084649,258,9163911,654565.0714,1277739.424,3196641,3,0,0,0,0,296,488,0.982100241,1.636833735,0,34,11.8,12.64252085,159.8333333,0,0,0,1,0,0,1,12.29166667,11.88888889,12.53333333,1,0,0,1
230,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,60869.56522,13043.47826,115.0,97.5807358,184,46,230,230.0,0.0,230,230,0,0.0,0.0,0,0,1,0,0,0,64,20,8695.652174,4347.826087,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
12088854,23,32,2008,2745,640,0,87.30434783,136.3399611,976,0,85.78125,220.240592,393.1720906,4.549645483,223867.6667,621145.8096,2586019,3,10100000,459182.0455,871484.9685,2658521,226,12100000,389958.5484,784138.41,2586019,3,0,0,0,0,744,1032,1.90257902,2.647066463,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,1,86.41818182,87.30434783,85.78125,1,0,0,1
9227216,9,15,103,188,23,0,11.44444444,9.207484878,34,0,12.53333333,14.54975045,31.5371397,2.601001212,401183.3043,1054791.379,3476861,1,5968546,746068.25,1408456.375,3521137,2,9227140,659081.4286,1303763.969,3476861,1,0,0,0,0,296,488,0.975375455,1.625625758,0,34,11.64,12.56609194,157.9066667,0,0,0,1,0,0,1,12.125,11.44444444,12.53333333,1,0,0,1
25,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,80000.0,25.0,0.0,25,25,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,40000.0,40000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
3,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,14.0,7.0,0.0,1,0,0,1
3,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,14.0,7.0,0.0,1,0,0,1
226,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,61946.90265,13274.33628,113.0,38.18376618,140,86,226,226.0,0.0,226,226,0,0.0,0.0,0,0,1,0,0,0,64,20,8849.557522,4424.778761,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
236,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,59322.0339,12711.86441,118.0,43.84062043,149,87,236,236.0,0.0,236,236,0,0.0,0.0,0,0,1,0,0,0,64,20,8474.576271,4237.288136,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
8926430,9,15,114,188,28,0,12.66666667,10.58300524,34,0,12.53333333,14.54975045,33.83211429,2.688644845,388105.6522,1009025.333,3119017,3,5765200,720650.0,1336012.331,3083134,3,8926309,637593.5,1245673.464,3119017,3,0,0,0,0,296,488,1.008241817,1.680403028,0,34,12.08,12.92903709,167.16,0,0,0,1,0,0,1,12.58333333,12.66666667,12.53333333,1,0,0,1
77,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12987.01299,12987.01299,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
9393279,9,15,108,188,25,0,12.0,9.759610648,34,0,12.53333333,14.54975045,31.51189271,2.555018327,408403.4348,1050847.838,3483288,3,6787298,848412.25,1530889.639,3527486,211,9393160,670940.0,1295808.924,3483288,3,0,0,0,0,296,488,0.958131873,1.596886455,0,34,11.84,12.7039364,161.39,0,0,0,1,0,0,1,12.33333333,12.0,12.53333333,1,0,0,1
2,1,1,14,0,14,14,14.0,0.0,0,0,0.0,0.0,7000000.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,32,32,500000.0,500000.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,1,14.0,14.0,0.0,1,0,0,1
256,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,54687.5,11718.75,128.0,14.14213562,138,118,256,256.0,0.0,256,256,0,0.0,0.0,0,0,1,0,0,0,64,20,7812.5,3906.25,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
63,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15873.01587,15873.01587,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
13060116,23,32,2024,2745,640,0,88.0,136.5124037,976,0,85.78125,220.240592,365.157553,4.211294907,241854.0,671130.1766,2534794,4,11100000,505350.5909,953201.8609,2596238,49,13100000,421289.9032,847177.7825,2534794,4,0,0,0,0,744,1032,1.761086961,2.450207946,0,976,85.16071429,186.8941146,34929.41006,0,0,0,1,0,0,1,86.70909091,88.0,85.78125,1,0,0,1
7899107,9,15,109,188,25,0,12.11111111,9.892477501,34,0,12.53333333,14.54975045,37.59918684,3.038318129,343439.4348,891624.1676,2812428,3,5304035,663004.375,1230575.805,2853402,3,7898986,564213.2857,1100565.37,2812428,3,0,0,0,0,296,488,1.139369298,1.898948831,0,34,11.88,12.73878592,162.2766667,0,0,0,1,0,0,1,12.375,12.11111111,12.53333333,1,0,0,1
8843254,9,15,102,188,21,0,11.33333333,8.902246907,34,0,12.53333333,14.54975045,32.79335864,2.713933129,384489.3043,999614.0881,3232672,3,6157581,769697.625,1424126.496,3274812,255,8843117,631651.2143,1234053.885,3232672,3,0,0,0,0,296,488,1.017724923,1.696208206,0,34,11.6,12.49333155,156.0833333,0,0,0,1,0,0,1,12.08333333,11.33333333,12.53333333,1,0,0,1
9691044,9,15,107,188,23,0,11.88888889,9.545214042,34,0,12.53333333,14.54975045,30.44047679,2.476513366,421349.7391,1104258.719,3548822,3,6272457,784057.125,1470045.338,3592994,4,9690921,692208.6429,1364434.251,3548822,3,0,0,0,0,296,488,0.928692512,1.547820854,0,34,11.8,12.64911064,160.0,0,0,0,1,0,0,1,12.29166667,11.88888889,12.53333333,1,0,0,1
94,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21276.59574,94.0,0.0,94,94,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10638.29787,10638.29787,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
224,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,62500.0,13392.85714,112.0,77.78174593,167,57,224,224.0,0.0,224,224,0,0.0,0.0,0,0,1,0,0,0,64,20,8928.571429,4464.285714,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
9561633,9,15,113,188,25,0,12.55555556,10.33333333,34,0,12.53333333,14.54975045,31.47997837,2.510031498,415723.1739,1080958.325,3416690,0,6480238,810029.75,1499700.568,3460368,48,9561602,682971.5714,1334489.768,3416690,0,0,0,0,0,296,488,0.941261812,1.568769686,0,34,12.04,12.85975635,165.3733333,0,0,0,1,0,0,1,12.54166667,12.55555556,12.53333333,1,0,0,1
8863970,9,15,98,188,20,0,10.88888889,8.491826135,34,0,12.53333333,14.54975045,32.26545216,2.707590391,385390.0,1009053.186,3362553,3,6399231,799903.875,1482710.105,3405567,3,8863879,633134.2143,1246668.158,3362553,3,0,0,0,0,296,488,1.015346397,1.692243995,0,34,11.44,12.40322539,153.84,0,0,0,1,0,0,1,11.91666667,10.88888889,12.53333333,1,0,0,1
1112,2,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3597.122302,370.6666667,396.082483,828,138,966,966.0,0.0,966,966,974,974.0,0.0,974,974,0,0,0,0,72,72,1798.561151,1798.561151,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0.0,0.0,0.0,1,0,0,1
9860079,9,15,107,188,23,0,11.88888889,9.532109479,34,0,12.53333333,14.54975045,29.91862438,2.434057577,428699.087,1115594.95,3428602,3,6388081,798510.125,1478289.788,3319303,3,9859928,704280.5714,1377376.245,3428602,3,0,0,0,0,296,488,0.912771591,1.521285986,0,34,11.8,12.64581617,159.9166667,0,0,0,1,0,0,1,12.29166667,11.88888889,12.53333333,1,0,0,1
4,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,14.0,7.0,0.0,1,0,0,1
283,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,49469.96466,10600.70671,141.5,70.00357134,191,92,283,283.0,0.0,283,283,0,0.0,0.0,0,0,1,0,0,0,64,20,7067.137809,3533.568905,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
240,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,58333.33333,12500.0,120.0,46.66904756,153,87,240,240.0,0.0,240,240,0,0.0,0.0,0,0,1,0,0,0,64,20,8333.333333,4166.666667,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
45,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44444.44444,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,22222.22222,22222.22222,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
218,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,64220.18349,13761.46789,109.0,124.4507935,197,21,218,218.0,0.0,218,218,0,0.0,0.0,0,0,1,0,0,0,64,20,9174.311927,4587.155963,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
190,2,2,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,73684.21053,21052.63158,63.33333333,19.03505538,83,45,190,190.0,0.0,190,190,45,45.0,0.0,45,45,1,0,0,0,64,40,10526.31579,10526.31579,0,14,5.6,7.668115805,58.8,0,1,0,0,1,0,1,7.0,7.0,0.0,1,0,0,1
12394116,22,33,2008,2745,640,0,91.27272727,138.1821372,976,0,83.18181818,217.2857356,383.4884231,4.437589579,229520.6667,635555.4729,2316207,18,10100000,479777.9048,871130.2455,2361942,390,12400000,387313.3438,792169.5752,2316207,18,0,0,0,0,712,1064,1.775035832,2.662553747,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,1,86.41818182,91.27272727,83.18181818,1,0,0,1
13288072,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,357.6892118,3.988539496,255539.8462,687178.9666,2332168,4,11300000,565032.65,990355.6481,2399717,453,13300000,428642.7097,852167.95,2332168,4,0,0,0,0,680,1032,1.580364706,2.40817479,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,1,0,0,1
11194083,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,424.5993173,4.734644187,215270.8269,576462.9759,2115014,3,9353009,467650.45,821549.47,2164766,245,11200000,361095.0323,714566.0189,2115014,3,0,0,0,0,680,1032,1.875991093,2.858653094,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,1,0,0,1
223,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,62780.26906,13452.9148,111.5,127.9863274,202,21,223,223.0,0.0,223,223,0,0.0,0.0,0,0,1,0,0,0,64,20,8968.609865,4484.304933,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
9773173,9,15,107,188,25,0,11.88888889,9.636447017,34,0,12.53333333,14.54975045,30.18466981,2.455701951,424920.5652,1104894.742,3433490,3,6554830,819353.75,1517017.087,3477503,3,9773064,698076.0,1364046.907,3433490,3,0,0,0,0,296,488,0.920888231,1.534813719,0,34,11.8,12.67214794,160.5833333,0,0,0,1,0,0,1,12.29166667,11.88888889,12.53333333,1,0,0,1
3,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,14.0,7.0,0.0,1,0,0,1
11460035,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,414.7456792,4.624767725,220385.2885,608327.0551,2452197,18,8966994,448349.7,803873.7886,2221846,296,11500000,369674.2581,756416.0967,2452197,39,0,0,0,0,680,1032,1.832455136,2.792312589,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,1,0,0,1
103,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19417.47573,103.0,0.0,103,103,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9708.737864,9708.737864,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
43,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,23255.81395,23255.81395,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
13359249,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,355.7834726,3.96728888,256908.6346,690970.8928,2423289,17,11200000,557786.0,981731.818,2484591,313,13400000,430940.9355,856879.9275,2423289,17,0,0,0,0,680,1032,1.57194465,2.395344229,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,1,0,0,1
8498291,9,15,109,188,24,0,12.11111111,9.829095132,34,0,12.53333333,14.54975045,34.94820312,2.824097221,369490.913,964170.6361,3236651,1,5992366,749045.75,1390073.398,3279001,1,8498226,607016.1429,1190780.231,3236651,1,0,0,0,0,296,488,1.059036458,1.765060763,0,34,11.88,12.72242115,161.86,0,0,0,1,0,0,1,12.375,12.11111111,12.53333333,1,0,0,1
19481960,31,40,2440,3001,640,0,78.70967742,119.7703896,976,0,75.025,198.0926341,279.2840145,3.644397176,278313.7143,742135.1391,4148914,1,17200000,574484.9333,1049179.889,4148914,1,19500000,499536.0513,942297.086,4152682,3,0,0,0,0,1048,1348,1.591215668,2.053181507,0,976,75.56944444,166.4358631,27700.89652,0,0,0,1,0,0,1,76.63380282,78.70967742,75.025,1,0,0,1
83,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24096.38554,83.0,0.0,83,83,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12048.19277,12048.19277,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
12946131,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,367.1367144,4.093887201,248964.0577,679100.9392,2585295,3,11200000,562463.85,999567.0713,2633113,329,12900000,417611.8387,843397.7131,2585295,3,0,0,0,0,680,1032,1.622106249,2.471780951,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,1,0,0,1
266,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,52631.57895,11278.19549,133.0,38.18376618,160,106,266,266.0,0.0,266,266,0,0.0,0.0,0,0,1,0,0,0,64,20,7518.796992,3759.398496,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
8562686,9,15,101,188,21,0,11.22222222,8.786036902,34,0,12.53333333,14.54975045,33.75109166,2.802858823,372290.6957,940446.4644,2995218,3,6049375,756171.875,1333735.722,3036875,3,8562653,611618.0714,1157212.712,2995218,3,0,0,0,0,296,488,1.051072058,1.751786764,0,34,11.56,12.46688948,155.4233333,0,0,0,1,0,0,1,12.04166667,11.22222222,12.53333333,1,0,0,1
227,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,61674.00881,13215.85903,113.5,60.1040764,156,71,227,227.0,0.0,227,227,0,0.0,0.0,0,0,1,0,0,0,64,20,8810.572687,4405.286344,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
210,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,66666.66667,14285.71429,105.0,35.35533906,130,80,210,210.0,0.0,210,210,0,0.0,0.0,0,0,1,0,0,0,64,20,9523.809524,4761.904762,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
9514409,9,15,107,188,25,0,11.88888889,9.675283516,34,0,12.53333333,14.54975045,31.00560424,2.522489836,413669.9565,1082017.506,3671489,3,6703850,837981.25,1558183.598,3715116,3,9514319,679594.2143,1336668.667,3671489,3,0,0,0,0,296,488,0.945933689,1.576556148,0,34,11.8,12.68200825,160.8333333,0,0,0,1,0,0,1,12.29166667,11.88888889,12.53333333,1,0,0,1
8693662,9,15,108,188,29,0,12.0,10.11187421,34,0,12.53333333,14.54975045,34.04779252,2.760631826,377985.3043,983121.7998,3182223,1,6057354,757169.25,1401356.303,3223258,3,8693570,620969.2857,1213750.328,3182223,1,0,0,0,0,296,488,1.035236935,1.725394891,0,34,11.84,12.7954419,163.7233333,0,0,0,1,0,0,1,12.33333333,12.0,12.53333333,1,0,0,1
11785804,19,31,2008,2745,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,403.2817787,4.242391949,240526.6122,630645.4329,2384106,3,9819162,545509.0,905327.7853,2435056,550,11800000,392855.5333,772323.2329,2384106,3,0,0,0,0,616,1000,1.612108941,2.630283008,0,976,93.19607843,193.9302988,37608.96078,0,0,0,1,0,0,1,95.06,105.6842105,88.5483871,1,0,0,1
