pcap_file,label,src_ip,dst_ip,src_port,dst_port,tls_version,cipher_suite,cert_issuer,cert_subject,cert_expiry,handshake_time
Skype.pcap,Benign,1.2.190.88,1.1.189.243,443,50014,0x0300,0xc014,NA,NA,NA,1.4e-05
Skype.pcap,Benign,1.2.46.192,1.1.152.186,443,14229,0x0300,0xc014,NA,NA,NA,1.3e-05
Skype.pcap,Benign,1.2.25.98,1.1.173.12,443,7708,0x0300,0xc014,NA,NA,NA,7e-06
Skype.pcap,Benign,1.2.87.60,1.1.226.180,443,23643,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.127.160,1.1.203.60,443,47195,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.248.146,1.1.76.61,443,64847,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.217.245,1.1.223.127,443,30314,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.211.27,1.1.100.61,443,58277,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.24.135,1.1.172.49,443,7492,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.199.243,1.1.199.154,443,50359,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.156.70,1.1.39.241,443,11527,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.1.249,1.1.181.145,443,1722,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.235.15,1.1.94.186,443,61393,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.53.25,1.1.128.183,443,14813,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.122.230,1.1.206.144,443,32670,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.94.253,1.1.234.167,443,61355,0x0300,0xc014,NA,NA,NA,1.4e-05
Skype.pcap,Benign,1.2.39.155,1.1.147.55,443,11347,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.109.134,1.1.217.48,443,29245,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.129.72,1.1.52.243,443,14851,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.248.102,1.1.76.17,443,20780,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.101.6,1.1.215.233,443,55221,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.45.201,1.1.45.103,443,12923,0x0300,0xc014,NA,NA,NA,1e-05
Skype.pcap,Benign,1.2.142.142,1.1.58.57,443,37692,0x0300,0xc014,NA,NA,NA,1e-05
Skype.pcap,Benign,1.2.135.32,1.1.50.203,443,14297,0x0300,0xc014,NA,NA,NA,7e-06
Skype.pcap,Benign,1.2.162.105,1.1.161.243,443,42786,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.78.41,1.1.249.158,443,21289,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.133.102,1.1.49.17,443,35364,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.45.87,1.1.153.1,443,35502,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.142.196,1.1.57.74,443,36664,0x0300,0xc014,NA,NA,NA,1.2e-05
Skype.pcap,Benign,1.2.46.81,1.1.153.237,443,13072,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.116.131,1.1.192.45,443,31087,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.253.52,1.1.70.72,443,20942,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.15.196,1.1.187.110,443,5269,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.21.101,1.1.167.127,443,45789,0x0300,0xc014,NA,NA,NA,1.6e-05
Skype.pcap,Benign,1.2.122.25,1.1.205.177,443,53991,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.63.43,1.1.62.197,443,17380,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.30.150,1.1.170.46,443,9056,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.175.188,1.1.26.141,443,44498,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.30.110,1.1.30.0,443,44842,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.143.163,1.1.59.78,443,16480,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.159.97,1.1.43.12,443,39964,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.82.102,1.1.229.254,443,60191,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.37.81,1.1.144.251,443,38430,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.3.6,1.1.2.164,443,48061,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.55.41,1.1.54.194,443,36917,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.21.10,1.1.166.123,443,45528,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.29.14,1.1.28.154,443,44518,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.176.240,1.1.4.155,443,3819,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.78.34,1.1.249.4,443,59465,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.232.220,1.1.232.131,443,24985,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.142.11,1.1.57.182,443,37574,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.5.29,1.1.176.199,443,2521,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.226.203,1.1.86.104,443,23439,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.62.171,1.1.138.85,443,17250,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.59.104,1.1.143.18,443,16429,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.239.173,1.1.238.81,443,61366,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.4.242,1.1.176.142,443,46526,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.36.13,1.1.151.183,443,38099,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.56.187,1.1.140.101,443,15734,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.209.112,1.1.101.27,443,27176,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.242.74,1.1.69.245,443,19206,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.74.125,1.1.254.27,443,20283,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.136.72,1.1.58.74,443,63668,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.116.33,1.1.115.170,443,30979,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.202.247,1.1.202.144,443,47143,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.49.141,1.1.133.55,443,13893,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.16.87,1.1.164.1,443,43319,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.58.168,1.1.142.62,443,16278,0x0300,0xc014,NA,NA,NA,6e-06
Skype.pcap,Benign,1.2.16.200,1.1.164.114,443,43408,0x0300,0xc014,NA,NA,NA,1.3e-05
Skype.pcap,Benign,1.2.205.181,1.1.195.38,443,52761,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.42.169,1.1.158.83,443,12137,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.66.186,1.1.66.81,443,18313,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.229.91,1.1.80.76,443,60280,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.159.154,1.1.43.55,443,12396,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.89.108,1.1.237.22,443,24101,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.148.85,1.1.31.229,443,9489,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.103.180,1.1.210.156,443,58329,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.107.207,1.1.223.121,443,28812,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.17.149,1.1.17.23,443,43649,0x0300,0xc014,NA,NA,NA,1.4e-05
Skype.pcap,Benign,1.2.155.179,1.1.47.94,443,13445,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.33.241,1.1.33.135,443,39634,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.50.232,1.1.134.104,443,35777,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.178.37,1.1.177.190,443,2870,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.226.131,1.1.86.32,443,59207,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.227.208,1.1.87.123,443,23690,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.226.51,1.1.225.206,443,59116,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.132.48,1.1.47.219,443,13554,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.134.208,1.1.50.123,443,14221,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.105.159,1.1.105.59,443,28253,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.18.82,1.1.17.39,443,6252,0x0300,0xc014,NA,NA,NA,6e-06
Skype.pcap,Benign,1.2.78.170,1.1.250.84,443,65382,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.75.115,1.1.255.29,443,64557,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.218.209,1.1.110.124,443,57247,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.218.68,1.1.217.49,443,51290,0x0300,0xc014,NA,NA,NA,1.4e-05
Skype.pcap,Benign,1.2.114.169,1.1.198.83,443,52070,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.149.28,1.1.32.183,443,9693,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.149.132,1.1.171.193,443,38172,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.137.55,1.1.136.222,443,36353,0x0300,0xc014,NA,NA,NA,0.0
Skype.pcap,Benign,1.2.74.79,1.1.253.233,443,1798,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.35.62,1.1.150.232,443,10230,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.203.244,1.1.127.159,443,1189,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.183.99,1.1.3.2,443,2101,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.122.211,1.1.206.125,443,54159,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.13.224,1.1.185.138,443,4780,0x0300,0xc014,NA,NA,NA,1.7e-05
Skype.pcap,Benign,1.2.75.210,1.1.255.124,443,20633,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.9.203,1.1.8.160,443,50112,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.89.30,1.1.236.200,443,24029,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.185.99,1.1.12.253,443,4643,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.48.143,1.1.132.57,443,13640,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.16.175,1.1.164.76,443,5569,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.138.8,1.1.136.33,443,18100,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.32.127,1.1.148.41,443,9542,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.205.111,1.1.121.26,443,32302,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.44.108,1.1.159.13,443,13405,0x0300,0xc014,NA,NA,NA,1.3e-05
Skype.pcap,Benign,1.2.7.236,1.1.179.132,443,49322,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.201.16,1.1.124.187,443,33214,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.21.151,1.1.161.65,443,42575,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.9.225,1.1.189.139,443,49804,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.205.112,1.1.195.162,443,52269,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.173.24,1.1.162.131,443,8595,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.158.96,1.1.42.11,443,12049,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.66.185,1.1.246.70,443,64422,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.25.211,1.1.173.125,443,7826,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.82.26,1.1.229.196,443,22230,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.143.135,1.1.57.133,443,17238,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.127.31,1.1.125.72,443,47793,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.135.78,1.1.50.232,443,33800,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.185.7,1.1.12.178,443,4539,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.251.152,1.1.249.39,443,58523,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.215.130,1.1.99.45,443,26669,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.190.184,1.1.10.81,443,50034,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.86.190,1.1.226.104,443,23402,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.38.9,1.1.145.164,443,38597,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.253.139,1.1.73.54,443,1594,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.196.140,1.1.112.55,443,51525,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.56.248,1.1.56.144,443,15818,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.11.216,1.1.191.130,443,4247,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.186.181,1.1.14.96,443,4973,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.211.247,1.1.103.150,443,27827,0x0300,0xc014,NA,NA,NA,7e-06
Skype.pcap,Benign,1.2.104.139,1.1.220.53,443,57671,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.188.97,1.1.6.85,443,50164,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.199.133,1.1.197.65,443,31763,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.135.239,1.1.51.154,443,14537,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.195.62,1.1.192.241,443,54097,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.145.34,1.1.151.233,443,38691,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.195.74,1.1.118.245,443,53252,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.238.0,1.1.89.140,443,24284,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.5.148,1.1.182.221,443,3327,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.247.206,1.1.67.121,443,62598,0x0300,0xc014,NA,NA,NA,1.3e-05
Skype.pcap,Benign,1.2.232.47,1.1.91.218,443,60654,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.182.67,1.1.203.92,443,2584,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.248.211,1.1.76.126,443,20877,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.159.163,1.1.43.40,443,12440,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.64.78,1.1.139.43,443,17996,0x0300,0xc014,NA,NA,NA,6e-06
Skype.pcap,Benign,1.2.143.24,1.1.58.195,443,16349,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.35.114,1.1.151.16,443,10285,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.72.64,1.1.243.234,443,19707,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.224.55,1.1.83.214,443,22788,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.82.85,1.1.81.238,443,22308,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.142.106,1.1.58.21,443,37667,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.98.211,1.1.212.61,443,55169,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.243.185,1.1.243.98,443,19617,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.174.191,1.1.26.88,443,45968,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.1.54.254,1.2.131.83,15374,443,NA,NA,NA,NA,NA,2.4e-05
Skype.pcap,Benign,1.1.240.117,1.2.68.203,62851,443,NA,NA,NA,NA,NA,9e-06
Skype.pcap,Benign,1.1.100.121,1.2.209.162,55205,443,NA,NA,NA,NA,NA,6e-06
Skype.pcap,Benign,1.1.213.1,1.2.97.87,55825,443,NA,NA,NA,NA,NA,1.1e-05
Skype.pcap,Benign,1.1.91.205,1.2.92.48,24837,443,NA,NA,NA,NA,NA,6e-06
Skype.pcap,Benign,1.1.108.120,1.2.216.205,29069,443,NA,NA,NA,NA,NA,8e-06
Skype.pcap,Benign,1.1.205.179,1.2.122.9,53957,443,NA,NA,NA,NA,NA,6e-06
Skype.pcap,Benign,1.1.179.101,1.2.7.187,49266,443,NA,NA,NA,NA,NA,7e-06
